solver_name,problem_name,timestamp,status,solve_time,objective_value,total_production,total_inventory,setup_months,cost_breakdown,total_time,production_periods,production_volatility,max_production,nonlinear_cost_ratio
MILP,主要测试问题,2025-05-31 15:46:27.219641,Optimal,0.09357738494873047,19460.0,1425.0,355.0,9.0,"{'production': 14250.0, 'holding': 710.0, 'setup': 4500.0, 'total': 19460.0}",0.09635376930236816,,,,
LP,主要测试问题,2025-05-31 15:46:27.219731,Optimal,0.013811349868774414,14250.0,1425.0,0.0,,"{'production': 14250.0, 'holding': 0.0, 'setup': 0, 'total': 14250.0}",0.01584792137145996,12.0,,,
QP,主要测试问题,2025-05-31 15:46:27.219887,optimal,0.020387887954711914,14504.738556025048,1425.0000000018351,92.61718986626191,,"{'production': np.float64(14250.000000018352), 'holding': np.float64(185.23437973252382), 'setup': 0, 'smoothness': np.float64(69.50417627417036), 'total': np.float64(14504.738556025048)}",0.024082422256469727,,7.160626894014286,,
NLP,主要测试问题,2025-05-31 15:46:27.219958,Optimal,0.016709566116333008,14435.828263599931,1424.9999999999804,0.0,,"{'production': np.float64(14249.999999999807), 'nonlinear': np.float64(185.82826360012587), 'holding': np.float64(0.0), 'setup': 0, 'total': np.float64(14435.828263599931)}",0.017400264739990234,,,160.0000000006191,0.012872712268868804
